     5.991 D |   "D:/Paths/R6Downloader/javaw.exe"
     5.991 D |   "D:/Paths/javaw.exe"
     5.991 D |   "D:/Paths/dex2jar/javaw.exe"
     5.991 D |   "D:/Paths/premake/javaw.exe"
     5.991 D |   "D:/Paths/vcpkg/javaw.exe"
     5.991 D |   "C:/Users/colin/.dotnet/tools/javaw.exe"
     5.991 D |   "D:/Apps/Telegram/javaw.exe"
     5.991 D |   "D:/Apps/NASM/javaw.exe"
     5.991 D |   "D:/Apps/Java/AdoptiumJDK-17/bin/javaw.exe"
     5.991 D |   "D:/Paths/SysInternals/javaw.exe"
     5.991 D |   "C:/Users/colin/AppData/Local/GitHubDesktop/bin/javaw.exe"
     5.991 D |   "D:/Paths/UnrealPakTool/javaw.exe"
     5.992 D |   "D:/Paths/adb/javaw.exe"
     5.992 D |   "D:/Docs/Danser/javaw.exe"
     5.992 D |   "D:/Paths/dnspy/javaw.exe"
     5.992 D |   "D:/NodeJS/javaw.exe"
     5.992 D |   "C:/Users/colin/go/bin/javaw.exe"
     5.992 D |   "D:/Apps/Nmap/javaw.exe"
     5.992 D |   "D:/Apps/ghidra_11.0_PUBLIC/javaw.exe"
     5.992 D |   "D:/Apps/HxD/javaw.exe"
     5.992 D |   "D:/Apps/Osu Collection Editor/javaw.exe"
     5.992 D |   "/javaw.exe"
     5.992 D | "Java detection"  started.
     5.992 D | Env: ignoring "JAVA_HOME" "D:\\Apps\\Java\\AdoptiumJDK-17"
     5.992 D | Running java checker: "C:/Program Files/Java/jre8/bin/javaw.exe" "-jar D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/jars/JavaCheck.jar"
     5.993 D | Java checker has failed to start.
     5.993 D | Process environment:
